0.0313895 999994 1000481 261 266 26 26 5 
0.062779 999996 1000481 261 259 26 26 -2 
0.0941685 1000000 1000480 261 257 25 26 -5 
0.125558 999986 1000481 261 275 26 25 15 
0.156948 999997 1000483 261 250 26 24 -9 
0.188337 999998 1000484 261 260 26 25 0 
0.219727 1000004 1000482 261 255 26 28 -8 
0.251116 999995 1000485 261 270 26 23 12 
0.282506 999982 1000485 261 274 26 26 13 
0.313895 999979 1000485 261 264 27 27 3 
0.345285 999973 1000484 260 266 25 26 5 
0.376674 999967 1000482 261 267 25 27 4 
0.408064 999973 1000478 261 255 25 29 -10 
0.439453 999973 1000484 260 260 26 20 6 
0.470843 999964 1000482 260 269 25 27 7 
0.502232 999966 1000482 261 259 27 27 -2 
0.533622 999968 1000486 261 259 26 22 2 
0.565011 999964 1000478 261 265 26 34 -4 
0.596401 999968 1000482 261 257 27 23 0 
0.62779 999979 1000483 261 250 25 24 -10 
0.65918 999961 1000484 261 279 27 26 19 
0.690569 999970 1000483 261 252 26 27 -10 
0.721959 999968 1000479 261 263 27 31 -2 
0.753348 999968 1000482 261 261 27 24 3 
0.784738 999954 1000482 261 275 27 27 14 
0.816127 999960 1000480 261 255 27 29 -8 
0.847517 999957 1000480 261 264 26 26 3 
0.878906 999938 1000483 261 280 26 23 22 
0.910296 999961 1000483 260 237 26 26 -23 
0.941685 999955 1000485 260 266 26 24 8 
0.973075 999955 1000481 261 261 27 31 -4 
1.00446 999948 1000485 261 268 25 21 11 
1.03585 999954 1000481 261 255 27 31 -10 
1.06724 999959 1000485 261 256 26 22 -1 
1.09863 999954 1000488 261 266 26 23 8 
1.13002 999952 1000485 261 263 25 28 -1 
1.16141 999943 1000485 261 270 26 26 9 
1.1928 999949 1000487 260 254 26 24 -4 
1.22419 999944 1000485 261 266 26 28 3 
1.25558 999933 1000488 261 272 26 23 14 
1.28697 999937 1000481 261 257 27 34 -11 
1.31836 999918 1000485 261 280 26 22 23 
1.34975 999917 1000483 261 262 26 28 -1 
1.38114 999914 1000484 261 264 27 26 4 
1.41253 999924 1000484 261 251 26 26 -10 
1.44392 999913 1000488 261 272 25 21 15 
1.47531 999918 1000485 260 255 27 30 -8 
1.5067 999916 1000492 261 263 26 19 9 
1.53809 999917 1000490 261 260 25 27 -3 
1.56948 999924 1000488 261 254 26 28 -9 
1.60086 999910 1000487 261 275 27 28 13 
1.63225 999921 1000485 261 250 25 27 -13 
1.66364 999926 1000484 261 256 25 26 -6 
1.69503 999926 1000487 261 261 26 23 3 
1.72642 999922 1000490 261 265 26 23 7 
1.75781 999929 1000487 261 254 26 29 -10 
1.7892 999926 1000483 261 264 26 30 -1 
1.82059 999935 1000483 260 251 25 25 -9 
