-250 1572.9 0 380.223 1193.73 1572.9 1573.96 
-246.231 1573.16 0 380.223 1193.73 1573.16 1573.96 
-242.462 1572.9 0 379.957 1193.47 1572.9 1573.43 
-238.693 1573.16 0 380.223 1193.73 1573.16 1573.96 
-234.925 1572.9 0 380.223 1193.73 1572.9 1573.96 
-231.156 1572.9 0 380.223 1193.73 1572.9 1573.96 
-227.387 1573.16 0 380.223 1193.73 1573.16 1573.96 
-223.618 1572.9 0 380.223 1193.73 1572.9 1573.96 
-219.849 1573.16 0 379.957 1193.47 1573.16 1573.43 
-216.08 1572.9 0 380.223 1193.73 1572.9 1573.96 
-212.312 1572.9 0 380.223 1193.73 1572.9 1573.96 
-208.543 1573.16 0 380.223 1193.73 1573.16 1573.96 
-204.774 1572.9 0 380.223 1193.73 1572.9 1573.96 
-201.005 1572.9 0 379.957 1193.73 1572.9 1573.69 
-197.236 1573.16 0 380.223 1193.47 1573.16 1573.69 
-193.467 1572.9 0 380.223 1193.73 1572.9 1573.96 
-189.698 1573.16 0 380.223 1193.73 1573.16 1573.96 
-185.93 1572.9 0 380.223 1193.73 1572.9 1573.96 
-182.161 1572.9 0 380.223 1193.73 1572.9 1573.96 
-178.392 1573.16 0 379.957 1193.73 1573.16 1573.69 
-174.623 1572.9 0 380.223 1193.47 1572.9 1573.69 
-170.854 1573.16 0 380.223 1193.73 1573.16 1573.96 
-167.085 1572.9 0 380.223 1193.73 1572.9 1573.96 
-163.317 1572.9 0 380.223 1193.73 1572.9 1573.96 
-159.548 1573.16 0 379.957 1193.73 1573.16 1573.69 
-155.779 1572.9 0 380.223 1193.73 1572.9 1573.96 
-152.01 1573.16 0 380.223 1193.47 1573.16 1573.69 
-148.241 1572.9 0 380.223 1193.73 1572.9 1573.96 
-144.472 1572.9 0 380.223 1193.73 1572.9 1573.96 
-140.704 1573.16 0 380.223 1193.73 1573.16 1573.96 
-136.935 1572.9 0 379.957 1193.73 1572.9 1573.69 
-133.166 1572.9 0 380.223 1193.73 1572.9 1573.96 
-129.397 1573.16 0 380.223 1193.47 1573.16 1573.69 
-125.628 1572.9 0 380.223 1193.73 1572.9 1573.96 
-121.859 1573.16 0 380.223 1193.73 1573.16 1573.96 
-118.09 1572.9 0 379.957 1193.73 1572.9 1573.69 
-114.322 1572.9 0 380.223 1193.73 1572.9 1573.96 
-110.553 1573.16 0 380.223 1193.73 1573.16 1573.96 
-106.784 1572.9 0 380.223 1193.47 1572.9 1573.69 
-103.015 1573.16 0 380.223 1193.73 1573.16 1573.96 
-99.2462 1572.9 0 380.223 1193.73 1572.9 1573.96 
-95.4774 1572.9 0 379.957 1193.73 1572.9 1573.69 
-91.7085 1573.16 0 380.223 1193.73 1573.16 1573.96 
-87.9397 1572.9 0 380.223 1193.73 1572.9 1573.96 
-84.1709 1573.16 0 380.223 1193.47 1573.16 1573.69 
-80.402 1572.9 0 380.223 1193.73 1572.9 1573.96 
-76.6332 1572.9 0 379.957 1193.73 1572.9 1573.69 
-72.8643 1573.16 0 380.223 1193.73 1573.16 1573.96 
-69.0955 1572.9 0 380.223 1193.73 1572.9 1573.96 
-65.3266 1572.9 0 380.223 1193.73 1572.9 1573.96 
-61.5578 1573.16 0 380.223 1193.47 1573.16 1573.69 
-57.7889 1572.9 0 380.223 1193.73 1572.9 1573.96 
-54.0201 1573.16 0 379.957 1193.73 1573.16 1573.69 
-50.2513 1572.9 0 380.223 1193.73 1572.9 1573.96 
-46.4824 1572.9 0 380.223 1193.73 1572.9 1573.96 
-42.7136 1573.16 0 380.223 1193.73 1573.16 1573.96 
-38.9447 1572.9 0 380.223 1193.47 1572.9 1573.69 
-35.1759 1573.16 0 380.223 1193.73 1573.16 1573.96 
-31.407 1572.9 0 379.957 1193.73 1572.9 1573.69 
-27.6382 1572.9 0 380.223 1193.73 1572.9 1573.96 
-23.8693 1573.16 0 380.223 1193.73 1573.16 1573.96 
-20.1005 1572.9 0 380.223 1193.73 1572.9 1573.96 
-16.3317 1573.16 0 380.223 1193.47 1573.16 1573.69 
-12.5628 1572.9 0 379.957 1193.73 1572.9 1573.69 
-8.79397 1572.9 0 380.223 1193.73 1572.9 1573.96 
-5.02513 1573.16 0 380.223 1193.73 1573.16 1573.96 
-1.25628 1572.9 0 380.223 1191.08 1572.9 1571.3 
2.51256 1572.1 0 380.223 1181.79 1572.1 1562.02 
6.28141 1571.57 0 380.223 1169.32 1571.57 1549.55 
10.0503 1569.18 0 380.223 1131.12 1569.18 1511.34 
13.8191 1564.14 0 380.223 1055.23 1564.14 1435.45 
17.5879 1554.85 0 380.223 925.483 1554.85 1305.71 
21.3568 1538.14 0 380.753 726.483 1538.14 1107.24 
25.1256 1510.28 0 381.019 474.947 1510.28 855.965 
28.8945 1467.82 0 381.815 236.677 1467.82 618.492 
32.6633 1411.04 0 382.611 83.0493 1411.04 465.66 
36.4322 1343.38 0 383.937 19.3693 1343.38 403.307 
40.201 1270.95 0 385.795 2.91867 1270.95 388.713 
43.9698 1198.25 0 387.917 0.265333 1198.25 388.183 
47.7387 1128.73 0 390.571 0 1128.73 390.571 
51.5075 1063.99 0 393.489 0 1063.99 393.489 
55.2764 1004.55 0 396.408 0 1004.55 396.408 
59.0452 950.424 0 400.388 0 950.424 400.388 
62.8141 901.337 0 404.103 0 901.337 404.103 
66.5829 857.027 0 408.348 0 857.027 408.348 
70.3518 817.227 0 413.389 0 817.227 413.389 
74.1206 780.876 0 418.165 0 780.876 418.165 
77.8894 748.24 0 423.737 0 748.24 423.737 
