0 0 0 0 0 0 0 0 
0.0250025 0.020002 1.74675e-08 8.55924 5.84281e-05 -1.74657e-06 -0.00179111 302.683 
0.050005 0.040004 6.064e-08 10.8561 0.000116856 -2.57025e-06 -0.00163734 383.909 
0.0750075 0.060006 1.21063e-07 12.4817 0.000175284 -3.47148e-06 -0.0015439 441.396 
0.10001 0.080008 1.99704e-07 13.7474 0.000233712 -4.39177e-06 -0.00147666 486.155 
0.125013 0.10001 2.96766e-07 14.7857 0.000292141 -5.31346e-06 -0.00142427 522.872 
0.150015 0.120012 4.12201e-07 15.6667 0.000350569 -6.22894e-06 -0.00138147 554.026 
0.175018 0.140014 5.45848e-07 16.4322 0.000408997 -7.13434e-06 -0.0013454 581.099 
0.20002 0.160016 6.97481e-07 17.1095 0.000467425 -8.02748e-06 -0.00131432 605.049 
0.225023 0.180018 8.66843e-07 17.717 0.000525853 -8.90707e-06 -0.00128708 626.533 
0.250025 0.20002 1.05366e-06 18.268 0.000584281 -9.77232e-06 -0.00126289 646.019 
0.275028 0.220022 1.25763e-06 18.7724 0.000642709 -1.06228e-05 -0.00124119 663.855 
0.30003 0.240024 1.47846e-06 19.2376 0.000701137 -1.14582e-05 -0.00122155 680.305 
0.325033 0.260026 1.71585e-06 19.6694 0.000759565 -1.22783e-05 -0.00120366 695.575 
0.350035 0.280028 1.96949e-06 20.0724 0.000817993 -1.30833e-05 -0.00118724 709.827 
0.375038 0.30003 2.23908e-06 20.4504 0.000876422 -1.38731e-05 -0.00117211 723.194 
0.40004 0.320032 2.52432e-06 20.8064 0.00093485 -1.46478e-05 -0.0011581 735.784 
0.425043 0.340034 2.8249e-06 21.1429 0.000993278 -1.54075e-05 -0.00114507 747.684 
0.450045 0.360036 3.14053e-06 21.4621 0.00105171 -1.61524e-05 -0.00113292 758.971 
0.475048 0.380038 3.47091e-06 21.7657 0.00111013 -1.68826e-05 -0.00112156 769.708 
0.50005 0.40004 3.81576e-06 22.0552 0.00116856 -1.75983e-05 -0.00111089 779.947 
0.525053 0.420042 4.17477e-06 22.3321 0.00122699 -1.82998e-05 -0.00110085 789.737 
0.550055 0.440044 4.54768e-06 22.5973 0.00128542 -1.89871e-05 -0.00109139 799.116 
0.575058 0.460046 4.9342e-06 22.8519 0.00134385 -1.96607e-05 -0.00108246 808.121 
0.60006 0.480048 5.33405e-06 23.0968 0.00140227 -2.03205e-05 -0.001074 816.781 
0.625063 0.50005 5.74696e-06 23.3328 0.0014607 -2.09669e-05 -0.00106598 825.125 
0.650065 0.520052 6.17268e-06 23.5604 0.00151913 -2.16001e-05 -0.00105837 833.176 
0.675068 0.540054 6.61092e-06 23.7804 0.00157756 -2.22203e-05 -0.00105114 840.955 
0.70007 0.560056 7.06145e-06 23.9933 0.00163599 -2.28277e-05 -0.00104425 848.482 
0.725073 0.580058 7.524e-06 24.1995 0.00169442 -2.34226e-05 -0.00103769 855.774 
0.750075 0.60006 7.99832e-06 24.3995 0.00175284 -2.40051e-05 -0.00103142 862.846 
0.775078 0.620062 8.48418e-06 24.5936 0.00181127 -2.45755e-05 -0.00102544 869.714 
0.80008 0.640064 8.98132e-06 24.7824 0.0018697 -2.51339e-05 -0.00101972 876.388 
0.825083 0.660066 9.48952e-06 24.966 0.00192813 -2.56807e-05 -0.00101425 882.881 
0.850085 0.680068 1.00085e-05 25.1448 0.00198656 -2.6216e-05 -0.00100901 889.203 
0.875088 0.70007 1.05381e-05 25.319 0.00204498 -2.674e-05 -0.00100399 895.365 
0.90009 0.720072 1.10781e-05 25.4889 0.00210341 -2.72529e-05 -0.000999179 901.374 
0.925093 0.740074 1.16283e-05 25.6548 0.00216184 -2.77549e-05 -0.00099456 907.24 
0.950095 0.760076 1.21883e-05 25.8168 0.00222027 -2.82463e-05 -0.000990125 912.969 
0.975098 0.780078 1.27581e-05 25.9752 0.0022787 -2.87272e-05 -0.000985865 918.569 
1.0001 0.80008 1.33374e-05 26.1301 0.00233712 -2.91978e-05 -0.000981771 924.046 
1.0251 0.820082 1.39261e-05 26.2816 0.00239555 -2.96584e-05 -0.000977834 929.406 
1.05011 0.840084 1.45238e-05 26.43 0.00245398 -3.0109e-05 -0.000974047 934.655 
1.07511 0.860086 1.51304e-05 26.5754 0.00251241 -3.05499e-05 -0.000970403 939.797 
1.10011 0.880088 1.57458e-05 26.718 0.00257084 -3.09813e-05 -0.000966894 944.838 
1.12511 0.90009 1.63697e-05 26.8578 0.00262926 -3.14034e-05 -0.000963516 949.781 
1.15012 0.920092 1.7002e-05 26.995 0.00268769 -3.18163e-05 -0.000960261 954.632 
1.17512 0.940094 1.76424e-05 27.1296 0.00274612 -3.22202e-05 -0.000957125 959.394 
1.20012 0.960096 1.82908e-05 27.2619 0.00280455 -3.26152e-05 -0.000954102 964.071 
1.22512 0.980098 1.89471e-05 27.3918 0.00286298 -3.30016e-05 -0.000951188 968.666 
1.25013 1.0001 1.96109e-05 27.5195 0.00292141 -3.33795e-05 -0.000948378 973.183 
1.27513 1.0201 2.02823e-05 27.6451 0.00297983 -3.37491e-05 -0.000945668 977.624 
1.30013 1.0401 2.0961e-05 27.7687 0.00303826 -3.41105e-05 -0.000943054 981.993 
1.32513 1.06011 2.16468e-05 27.8902 0.00309669 -3.44639e-05 -0.000940533 986.292 
1.35014 1.08011 2.23396e-05 28.0099 0.00315512 -3.48094e-05 -0.0009381 990.524 
1.37514 1.10011 2.30392e-05 28.1277 0.00321355 -3.51473e-05 -0.000935753 994.691 
