0.0313895 245.992 0 248 14.8564 0 18 24.5968 26 0 1.48667 0 0  - 1.00816 1.2116 1.05705 0 
0.062779 245.992 0 245 14.8564 0 14 24.5968 24 0 1.48667 2 0  - 0.995966 0.942355 0.975738 1.34529 
0.0941685 245.992 0 246 14.8564 0 11 24.5968 25 0 1.48667 1 0  - 1.00003 0.740422 1.01639 0.672644 
0.125558 245.992 0 253 14.8564 0 22 24.5968 25 0 1.48667 0 0  - 1.02849 1.48084 1.01639 0 
0.156948 245.992 0 239 14.8564 0 11 24.5968 24 0 1.48667 0 0  - 0.971575 0.740422 0.975738 0 
0.188337 245.992 0 249 14.8564 0 11 24.5968 25 0 1.48667 0 0  - 1.01223 0.740422 1.01639 0 
0.219727 245.992 0 243 14.8564 0 12 24.5968 26 0 1.48667 2 0  - 0.987836 0.807733 1.05705 1.34529 
0.251116 245.992 0 250 14.8564 0 20 24.5968 22 0 1.48667 1 0  - 1.01629 1.34622 0.894426 0.672644 
0.282506 245.992 0 249 14.8564 0 25 24.5968 25 0 1.48667 1 0  - 1.01223 1.68278 1.01639 0.672644 
0.313895 245.992 0 246 14.8564 0 18 24.5968 24 0 1.48667 3 0  - 1.00003 1.2116 0.975738 2.01793 
0.345285 245.992 0 251 14.8564 0 15 24.5968 26 0 1.48667 0 0  - 1.02036 1.00967 1.05705 0 
0.376674 245.992 0 247 14.8564 0 20 24.5968 25 0 1.48667 2 0  - 1.0041 1.34622 1.01639 1.34529 
0.408064 245.992 0 244 14.8564 0 11 24.5968 27 0 1.48667 2 0  - 0.991901 0.740422 1.0977 1.34529 
0.439453 245.992 0 240 14.8564 0 20 24.5968 20 0 1.48667 0 0  - 0.975641 1.34622 0.813115 0 
0.470843 245.992 0 256 14.8564 0 13 24.5968 27 0 1.48667 0 0  - 1.04068 0.875044 1.0977 0 
0.502232 245.992 0 245 14.8564 0 14 24.5968 23 0 1.48667 4 0  - 0.995966 0.942355 0.935082 2.69057 
0.533622 245.992 0 245 14.8564 0 14 24.5968 22 0 1.48667 0 0  - 0.995966 0.942355 0.894426 0 
0.565011 245.992 0 251 14.8564 0 14 24.5968 30 0 1.48667 4 0  - 1.02036 0.942355 1.21967 2.69057 
0.596401 245.992 0 247 14.8564 0 10 24.5968 23 0 1.48667 0 0  - 1.0041 0.67311 0.935082 0 
0.62779 245.992 0 238 14.8564 0 12 24.5968 23 0 1.48667 1 0  - 0.96751 0.807733 0.935082 0.672644 
0.65918 245.992 0 265 14.8564 0 14 24.5968 24 0 1.48667 2 0  - 1.07727 0.942355 0.975738 1.34529 
0.690569 245.992 0 235 14.8564 0 17 24.5968 24 0 1.48667 3 0  - 0.955315 1.14429 0.975738 2.01793 
0.721959 245.992 0 248 14.8564 0 15 24.5968 28 0 1.48667 3 0  - 1.00816 1.00967 1.13836 2.01793 
0.753348 245.992 0 241 14.8564 0 20 24.5968 23 0 1.48667 1 0  - 0.979706 1.34622 0.935082 0.672644 
0.784738 245.992 0 260 14.8564 0 15 24.5968 24 0 1.48667 3 0  - 1.05694 1.00967 0.975738 2.01793 
0.816127 245.992 0 236 14.8564 0 19 24.5968 27 0 1.48667 2 0  - 0.95938 1.27891 1.0977 1.34529 
0.847517 245.992 0 251 14.8564 0 13 24.5968 26 0 1.48667 0 0  - 1.02036 0.875044 1.05705 0 
0.878906 245.992 0 266 14.8564 0 14 24.5968 22 0 1.48667 1 0  - 1.08134 0.942355 0.894426 0.672644 
0.910296 245.992 0 224 14.8564 0 13 24.5968 25 0 1.48667 1 0  - 0.910598 0.875044 1.01639 0.672644 
0.941685 245.992 0 243 14.8564 0 23 24.5968 24 0 1.48667 0 0  - 0.987836 1.54815 0.975738 0 
0.973075 245.992 0 249 14.8564 0 12 24.5968 29 0 1.48667 2 0  - 1.01223 0.807733 1.17902 1.34529 
1.00446 245.992 0 249 14.8564 0 19 24.5968 21 0 1.48667 0 0  - 1.01223 1.27891 0.85377 0 
1.03585 245.992 0 243 14.8564 0 12 24.5968 29 0 1.48667 2 0  - 0.987836 0.807733 1.17902 1.34529 
1.06724 245.992 0 247 14.8564 0 9 24.5968 22 0 1.48667 0 0  - 1.0041 0.605799 0.894426 0 
1.09863 245.992 0 245 14.8564 0 21 24.5968 22 0 1.48667 1 0  - 0.995966 1.41353 0.894426 0.672644 
1.13002 245.992 0 245 14.8564 0 18 24.5968 27 0 1.48667 1 0  - 0.995966 1.2116 1.0977 0.672644 
1.16141 245.992 0 256 14.8564 0 14 24.5968 26 0 1.48667 0 0  - 1.04068 0.942355 1.05705 0 
1.1928 245.992 0 246 14.8564 0 8 24.5968 22 0 1.48667 2 0  - 1.00003 0.538488 0.894426 1.34529 
